id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
2251421,STUNNING 90 m2 loft in the centre,11499410,Richard,,De Pijp - Rivierenbuurt,52.35605574,4.898818975,Entire home/apt,180,14,1,4/25/2014,0.02,1,0
2252380,Bright apartment near Jordaan,11503472,Liesbeth,,Westerpark,52.37699174,4.873200423,Entire home/apt,120,3,11,9/10/2017,0.2,1,0
2253284,Great central apartment!,11507135,Jan,,Centrum-Oost,52.37349923,4.90209275,Entire home/apt,150,2,20,6/21/2018,0.34,2,0
2259650,Cosy appartement with garden!,8809927,Eveline,,De Pijp - Rivierenbuurt,52.34991823,4.887942857,Entire home/apt,110,2,0,,,1,0
2260822,"Appartment near the centre, with rooftop terrace!",11544503,Chananja,,Zuid,52.35454161,4.856346736,Entire home/apt,150,1,0,,,1,0
2261343,AMAZING LIGHT DESIGN APT IN CENTRE!,4742310,Valerie,,Centrum-Oost,52.36111231,4.888003285,Entire home/apt,215,3,10,4/29/2018,0.22,1,0
2261399,Gorgeous flat w/ garden next to RAI conv. centre,2785362,Francisco,,Buitenveldert - Zuidas,52.33250511,4.881155657,Entire home/apt,95,2,30,12/2/2018,0.63,1,29
2272303,Cosy apartment in De  Pijp bed and breakfast,11601106,Sonja,,De Pijp - Rivierenbuurt,52.35437172,4.897834804,Entire home/apt,295,2,52,8/6/2018,1.05,2,302
2273399,Spacious Family Appartement,11606810,Claire & Mischa,,Zuid,52.3525961,4.853051186,Entire home/apt,300,3,6,1/2/2017,0.11,1,39
2275817,Old port of Amsterdam,11620583,Yme,,Centrum-Oost,52.37365574,4.905196316,Private room,115,3,138,11/25/2018,2.42,2,31
2275974,Cozy spacious 70m2 fully furnished,195580,Jakob,,Oostelijk Havengebied - Indische Buurt,52.36263505,4.945659131,Entire home/apt,70,2,7,10/31/2015,0.12,1,0
2281598,Family home by city center/park,8726556,Tal,,Zuid,52.35264285,4.848052366,Entire home/apt,175,4,4,12/11/2014,0.07,2,0
2282124,"Spacious maisonette, de Plantage - Artis zoo",11655485,Wouter,,Centrum-Oost,52.36970996,4.913824478,Entire home/apt,230,4,6,8/30/2018,0.22,1,18
2285864,Small cozy studio @ Jordaan,11678377,Anne,,Centrum-West,52.37026887,4.881315863,Private room,65,3,37,10/22/2018,0.63,1,96
2290250,Spacious apartment 'Old garage',4250322,Tjeerd,,De Pijp - Rivierenbuurt,52.35344128,4.892420044,Entire home/apt,150,3,16,1/15/2018,0.28,1,0
2290605,Authentic Amsterdam living,11650694,Elise,,Zuid,52.34459894,4.868290119,Entire home/apt,175,3,35,11/16/2018,0.62,1,308
2295460,Lovely Flat in Historic Red Light,11724972,Geoffrey,,Centrum-West,52.37334416,4.894933103,Entire home/apt,225,3,24,8/19/2018,0.47,1,359
2300660,"Two-level 90m2 app, close to metro",11751410,Ed,,Oud-Oost,52.35509239,4.915339092,Entire home/apt,500,4,9,10/31/2016,0.22,1,88
2305578,"Room, own access close to center",3586043,Maxine,,De Baarsjes - Oud-West,52.36947919,4.861182299,Private room,46,5,27,10/30/2018,0.64,2,66
2309762,Lovely flat with a cottage twist,3586043,Maxine,,De Baarsjes - Oud-West,52.36922415,4.858996567,Entire home/apt,70,5,12,4/16/2017,0.21,2,1
2319717,"Central flat, modern place, rooftop",11845593,Yann,,Centrum-West,52.38030163,4.893228108,Entire home/apt,240,3,18,8/23/2015,0.32,1,0
2323819,Bright apartment near Westerpark (Bos en Lommer),36701,Leonie And Frank,,Bos en Lommer,52.38142123,4.852950701,Entire home/apt,84,2,35,10/2/2018,0.61,1,0
2327428,Cosy appartment with sunny garden!,5232385,Jeroen,,Oud-Oost,52.35388455,4.919278862,Entire home/apt,155,2,10,10/14/2018,0.22,1,65
2327850,Beautiful apartment in 'de pijp',3973771,Caro,,De Pijp - Rivierenbuurt,52.3517868,4.895780536,Entire home/apt,109,3,25,2/11/2018,0.45,1,0
2327973,Beautiful New Loft near Vondelpark 40m2 Roofterras,7999467,Ivar,,De Baarsjes - Oud-West,52.3690958,4.859854476,Entire home/apt,250,5,5,5/13/2018,0.25,1,364
2334206,Quiet 65m2 apt close to the centre,1746634,Derek,,De Baarsjes - Oud-West,52.36212926,4.851974216,Entire home/apt,48,1,5,8/20/2015,0.1,1,0
2334288,"LE PETIT PRINCE, Canal apartment!",11924110,Bettina,,Centrum-Oost,52.3610281,4.894410471,Entire home/apt,139,3,85,4/17/2017,1.51,1,1
2334466,Nice and Cosy 4 room apartment,7594884,"Ruben, Sarah & Lindy",,Slotervaart,52.37053137,4.841359402,Entire home/apt,97,3,63,4/20/2017,1.1,21,0
2335656,"Spacious, Bright & Well located apt@ Cool West",2778881,Thijs,,De Baarsjes - Oud-West,52.36472116,4.853984829,Entire home/apt,129,3,7,6/30/2018,0.44,1,10
2336238,Prestigious Canal House Centre.,8352582,Manisa,,Centrum-Oost,52.36457961,4.88551954,Entire home/apt,350,1,21,12/2/2018,1.13,1,12
2336764,Modern and spacious appartment! ,11010221,Frank,,Oostelijk Havengebied - Indische Buurt,52.35941419,4.944621041,Entire home/apt,109,2,40,9/22/2018,0.7,1,58
2337807,cozy room w/ private sink & shower,10569558,Velvet,,De Pijp - Rivierenbuurt,52.35686052,4.904686033,Private room,57,1,88,11/19/2018,1.56,1,304
2343911,Sunny apartment in East Amsterdam,5145209,Steven,,Oostelijk Havengebied - Indische Buurt,52.36329909,4.938532386,Entire home/apt,80,1,4,2/11/2018,0.15,1,0
2344055,Large bedroom in cosy flat near Jordaan/center,4387509,Mariana,,Westerpark,52.37903691,4.871547741,Private room,62,2,4,1/14/2018,0.14,1,0
2344086,"Light 4BD, with balcony ",10271537,Leila,,Oostelijk Havengebied - Indische Buurt,52.36270656,4.936432218,Entire home/apt,85,3,1,4/10/2015,0.02,1,0
2345576,Canal Villa Apartment + Roofgarden,4659585,Valerie,,Centrum-Oost,52.36608975,4.910644005,Entire home/apt,545,3,48,10/29/2018,0.84,1,302
2347252,Apartment with rooftop in centre,11988372,Sylvia,,De Pijp - Rivierenbuurt,52.35150966,4.895628397,Entire home/apt,130,4,32,11/20/2018,0.66,1,194
2347301,Spacious and Light Family Home ,11300670,Rogier & Violet,,Westerpark,52.38863167,4.878538282,Entire home/apt,210,3,48,8/22/2018,0.85,1,11
2348960,City apartment (85m2),11994755,Floris,,Centrum-Oost,52.35979524,4.894600651,Entire home/apt,250,3,9,8/15/2018,0.27,1,205
2349446,"The Bedstay - authentic, cosy and unique retreat",11997764,Christine,,IJburg - Zeeburgereiland,52.36856538,4.958736237,Private room,75,1,156,1/22/2017,2.68,1,104
2353432,Lovely house +garden +free parking!,12018031,Marjolein & Ernst,,Noord-Oost,52.39477052,4.931712598,Entire home/apt,150,5,5,8/10/2018,0.09,1,96
2354430,Cozy apartment in Amsterdam ,11971692,Liset,,De Baarsjes - Oud-West,52.36601712,4.854836984,Entire home/apt,75,2,4,7/26/2015,0.07,1,0
2362732,Modern 2 bedroom flat in De Pijp,1964005,David,,De Pijp - Rivierenbuurt,52.3564533,4.89644939,Entire home/apt,217,3,0,,,2,0
2362966,Unique studio in old horse stables,12069700,Edwin,,Noord-West,52.42223217,4.890982225,Entire home/apt,135,2,54,10/21/2018,1.42,2,250
2364864,Amsterdam's best kept secret,12058177,Amy,,Gaasperdam - Driemond,52.30652032,4.976495706,Private room,75,1,42,11/15/2018,1.01,2,364
2364867,Spacious modern apartment,12058177,Amy,,Gaasperdam - Driemond,52.30678323,4.97742501,Entire home/apt,120,3,0,,,2,0
2368869,Private Houseboat~City Center,7907666,Mijs,,Centrum-West,52.38510088,4.886649567,Entire home/apt,250,3,23,8/20/2018,0.41,1,2
2372749,"A nice, spacious & luxury apartment",12119860,Danielle,,Zuid,52.35493178,4.855125256,Entire home/apt,250,3,17,10/22/2018,0.35,1,354
2381731,Cosy house in Monumental area,12168785,Jacomien,,Oud-Noord,52.38996617,4.945469209,Entire home/apt,99,2,31,9/11/2016,0.55,1,0
2382064,Last Minute to Amsterdam in February,8122713,Manel,,De Baarsjes - Oud-West,52.37311049,4.860219246,Entire home/apt,95,3,2,4/17/2017,0.09,1,0
2384332,"Amsterdam Loft ""Like"" Apartment in Prime Location",12179373,Nathalie,,Centrum-West,52.36729244,4.883479015,Entire home/apt,180,2,18,10/28/2018,1.11,1,9
2388275,"Stylish, Quiet Appartement & Veranda",8691345,Charles,,De Baarsjes - Oud-West,52.36388388,4.850018054,Entire home/apt,109,3,87,9/27/2018,1.51,1,0
2389008,Kidsproof huis naast cultuurpark   ,12203902,Judith,,Westerpark,52.38378411,4.869080576,Entire home/apt,169,1,46,10/26/2018,0.82,1,0
2391988,Bright 2-room apartment for couples,12218368,Tim,,Oostelijk Havengebied - Indische Buurt,52.36252725,4.933939541,Entire home/apt,80,1,6,8/4/2014,0.11,1,0
2395419,Cozy & comfortable app. in Oud-Zuid,12236645,Sabine,,Zuid,52.34789345,4.861387445,Entire home/apt,90,2,41,9/1/2018,0.73,1,0
2395841,Cosy Apt. 10min. from the 9 streets,12238652,Femkje,,De Baarsjes - Oud-West,52.371227,4.865328006,Entire home/apt,115,2,19,10/23/2018,0.33,1,0
2396536,Modern park villa in city center,2774147,Gloria,,Centrum-Oost,52.36780323,4.932134487,Entire home/apt,275,3,9,5/8/2016,0.16,1,0
2398995,Lovely appartement near the Jordaan,10008303,Caroline,,Westerpark,52.3773296,4.876681348,Entire home/apt,110,2,17,8/19/2018,0.99,1,0
2399343,Canal house; 3 bedr & 3 bathr,777345,Rutger Jan,,Centrum-Oost,52.36106542,4.895167196,Entire home/apt,500,7,0,,,1,10
2400353,Stylish houseboot in city center - 70 m2,1937981,Floor,,Centrum-Oost,52.37258858,4.905173082,Entire home/apt,150,3,13,2/14/2018,0.26,1,0
2400486,Nice appartment in Amsterdam,5615186,Ana,,Slotervaart,52.35620393,4.83205034,Entire home/apt,120,3,36,9/25/2018,0.64,1,230
2403258,Experience Amsterdam Centre,12227060,Sander,,De Baarsjes - Oud-West,52.36867991,4.87324019,Entire home/apt,139,2,44,10/23/2018,1.03,1,265
2404640,Lovely city apartment for two!,12289653,Iris,,Westerpark,52.37399079,4.869009291,Entire home/apt,95,10,11,6/16/2017,0.2,1,0
2405360,Apartment in centre of Amsterdam,12293873,Sjors,,Centrum-Oost,52.36782249,4.928111429,Entire home/apt,100,6,21,9/29/2018,0.87,1,5
2405985,Cosy guest room near city centre -2,123414,Michele,,Bos en Lommer,52.37529835,4.857196176,Private room,65,3,238,11/21/2018,4.2,2,334
2411459,Canalhouse 17e century centre,1487971,Hanneke,,Centrum-West,52.37431181,4.893197855,Entire home/apt,225,2,34,10/22/2018,0.68,1,0
2417145,"Spacious apartment, 10min to centre",9527049,Daan,,Bos en Lommer,52.37545259,4.858731997,Entire home/apt,99,2,12,8/6/2016,0.25,1,158
2418369,"Free parking, sunny 80m2 two floor appartment!",9266156,Suzanne,,Oud-Noord,52.39586453,4.916460678,Entire home/apt,81,3,25,4/26/2018,0.57,1,0
2423338,"Great apartment, view over Amstel!",7358637,Marie,,Oud-Oost,52.35252196,4.910977587,Entire home/apt,169,3,0,,,1,4
2428434,"Beautiful app. Centr, Waterlooplein",12412954,Joost,,Centrum-Oost,52.36773132,4.903854588,Entire home/apt,99,3,11,11/13/2018,0.19,1,0
2429334,"Studio MAZZO, canal apartment",10015905,Michiel,,Centrum-West,52.37991361,4.889400736,Private room,139,2,266,11/20/2018,4.62,1,329
2434568,2 bedroom apartment with garden near Vondelpark,12443362,Iris,,Zuid,52.3495632,4.849004239,Entire home/apt,210,1,21,10/22/2017,0.41,1,174
2435572,top location centre Amsterdam,12448020,Maria,,Centrum-West,52.38195524,4.888251624,Private room,79,3,224,11/20/2018,3.84,2,294
2436846,Amsterdam Houseboats | Burret,82145,Wim,,Centrum-West,52.37179227,4.881815699,Entire home/apt,300,3,79,8/26/2018,1.39,2,99
2438820,Cosy crib in Amsterdam,6037528,Maria,,Oostelijk Havengebied - Indische Buurt,52.35875753,4.939857858,Entire home/apt,145,1,10,11/16/2018,0.23,1,13
2438947, downtown app (105 sqm/950 sqft),11518012,Dirk J,,Centrum-West,52.37767811,4.890779029,Entire home/apt,150,10,13,8/10/2018,0.25,1,170
2441148,New! Top stay @heart of amsterdam,12479183,Koosje,,De Pijp - Rivierenbuurt,52.35296227,4.894847419,Entire home/apt,130,5,17,10/6/2017,0.3,1,0
2449785,"Neat, Modern Apartment next to Oosterpark",4159413,Daan,,Oud-Oost,52.3564439,4.912645178,Entire home/apt,90,1,11,10/14/2018,0.62,1,0
2450025,Lovely houseboat and two cats are waiting for you!,5222532,Renée,,Noord-West,52.41045438,4.901443918,Entire home/apt,60,3,7,7/2/2018,0.26,1,0
2450249,Luxerious houseboat Amsterdam,3523553,Doet,,Westerpark,52.38038268,4.868951714,Entire home/apt,386,2,13,8/12/2018,0.32,3,48
2455913,"Quiet large apartment, near museums & main sights",6139246,Jim,,Centrum-Oost,52.35890225,4.896814899,Entire home/apt,150,3,58,11/18/2018,1.03,1,6
2456164,Lovely Canal Apartment,5400786,Jitske,,Centrum-West,52.37580364,4.897089501,Entire home/apt,112,2,46,9/12/2018,0.81,1,4
2456244,charming nest in the heart of town,311067,Dan,,De Pijp - Rivierenbuurt,52.357282,4.88893629,Private room,72,3,52,8/31/2017,0.92,2,0
2457711,Childfriendly home in Amsterdam,11731622,Marieke,,De Baarsjes - Oud-West,52.36636335,4.8532516,Entire home/apt,150,1,11,5/12/2018,0.2,1,0
2459307,Trendy one bedroom appartment! ,12574181,Gerard,,Watergraafsmeer,52.35080413,4.932358712,Entire home/apt,110,2,30,10/21/2018,0.53,1,7
2460851,cousy place in north Amsterdam,12582722,Allard,,Noord-West,52.40914743,4.890403829,Entire home/apt,95,14,0,,,1,0
2462491,House with Garden + free Parking,12593174,Laura,,Oud-Noord,52.39550816,4.916712706,Entire home/apt,95,2,31,5/4/2016,0.54,1,0
2462629,Beautiful Loft on Canal in Jordaan,4246574,Andrea,,Centrum-West,52.38023221,4.890379795,Entire home/apt,80,60,4,1/22/2018,0.23,1,177
2463922,Apt.(155m2) + Roof terrace (75m2),12599696,Michiel,,Zuid,52.35097063,4.857012714,Entire home/apt,325,2,35,9/1/2018,0.62,1,0
2464037,Comfortable home in trendy East,3653201,Willem,,Oud-Oost,52.36068633,4.930385797,Entire home/apt,150,7,3,5/6/2018,0.06,1,0
2464210,SPECIAL PRICE View to a Kill,12600964,Marc,,De Baarsjes - Oud-West,52.36347105,4.861075238,Entire home/apt,129,2,71,11/7/2018,1.23,1,351
2467063,House with big terras,12526103,Robert,,Centrum-West,52.38302562,4.886381231,Entire home/apt,220,1,80,8/26/2018,1.39,1,255
2469007,"5star roofterrace penthouse, no cleaning costs",12627558,Tom,,De Baarsjes - Oud-West,52.37018082,4.8668774,Entire home/apt,249,3,34,1/1/2018,0.6,1,106
2469968,Canal apartment Jordaan,682801,Cesar & Floortje,,Centrum-West,52.38229946,4.882014717,Entire home/apt,675,3,26,11/7/2018,0.45,1,58
2471428,Lovely apartment in the Jordaan | City centre | 2P,12639101,Annemarie & Sander,,Centrum-West,52.37531892,4.882895619,Entire home/apt,150,2,30,10/24/2018,0.55,1,0
2471617,Charming Canal house City Centre 4p,6331314,Karin & Douwe,,Centrum-Oost,52.37189615,4.904369362,Entire home/apt,149,3,337,12/3/2018,5.95,1,45
2472277,Bright apartment near center,12635602,Willemijn & Dennis,,Bos en Lommer,52.38344915,4.855629343,Entire home/apt,100,7,44,8/15/2018,0.78,1,9
2474754,pay a little more   get a lot more,10428722,Yaap,,Centrum-West,52.37943883,4.88488019,Entire home/apt,180,3,8,11/6/2018,0.14,1,360
2475088,Bright apartment w/balcony - 60 sqm,12660053,Rikkert,,De Baarsjes - Oud-West,52.37114861,4.85490849,Entire home/apt,95,2,6,8/8/2016,0.18,1,0
2476314,Homely family apartment (central),10886830,Maike,,Oud-Oost,52.35315901,4.916506271,Entire home/apt,125,6,6,8/12/2018,0.11,1,0
2477880,Private bedroom in a 17th century canal storehouse,12348866,Jan-Tjalling,,Centrum-West,52.38337485,4.885104873,Private room,107,1,313,11/26/2018,5.44,1,257
2478937,Stylish apartment in the citycenter,12679676,Thomas&Eyal,,Centrum-West,52.37254882,4.897604978,Private room,99,2,393,11/21/2018,6.83,1,170
2480621,Downtown - Amsterdam city centre,12690109,Jacqueline,,Centrum-West,52.37534354,4.892530372,Private room,95,2,100,11/26/2018,1.75,2,43
2481241,Cosy apartment with free parking,12693120,Elles,,Oud-Noord,52.39949674,4.916871944,Entire home/apt,125,5,40,6/18/2018,0.7,2,90
2482541,130 m2 cozy city apartment,4577792,Laurus,,Westerpark,52.38613201,4.876858026,Entire home/apt,300,3,41,10/22/2018,0.75,1,11
2485053,★ Family house | Private Parking | Roof terrace ★,12716442,Koen,,Bos en Lommer,52.38219685,4.847303861,Entire home/apt,149,3,13,8/9/2018,0.24,1,32
2485539,Spacious family apartment & sunny garden,10388381,Saskia,,Watergraafsmeer,52.34953363,4.941503696,Entire home/apt,397,3,12,4/17/2017,0.25,1,151
2490116,Sunny place near center + Roof top!,12955104,Mariette,,Westerpark,52.37754636,4.871126308,Entire home/apt,111,2,47,6/23/2018,0.83,1,0
2497346,Cozy studio with Terrace and Airco,12784049,Ruud,,Zuid,52.35855079,4.881031461,Private room,93,1,446,12/3/2018,7.81,1,290
2501290,Complete home incl 2p bath near Hallen&Vondelpark,12567638,Linda,,De Baarsjes - Oud-West,52.36777191,4.856834085,Entire home/apt,110,2,17,7/2/2018,0.3,1,18
2503491,"Clean, light and cozy appartment",12789867,Jorn,,Zuid,52.34672926,4.859788362,Entire home/apt,100,2,69,9/27/2018,1.22,1,131
2503773,Charming house with garden,8769186,Marloes,,Oostelijk Havengebied - Indische Buurt,52.3627035,4.937149404,Entire home/apt,91,1,73,7/12/2018,1.29,1,9
2508498,Comfortable  room for 1 or 2 people,12839939,Astrid,,Bijlmer-Oost,52.3258179,4.98084748,Private room,60,1,32,9/17/2018,0.57,1,327
2511089,"Comfortable, spacious double room",12676384,Anna,,Oud-Oost,52.35610375,4.92376636,Private room,73,2,10,3/27/2016,0.29,2,0
2514858,"Two private rooms in cosy apartment in ""de Pijp""",9396158,Rob & René,,De Pijp - Rivierenbuurt,52.35089113,4.894373166,Private room,75,2,14,12/2/2018,0.25,1,242
2517619,"LOCATION, LOCATION, LOCATION",187728,Tanya,,Centrum-Oost,52.36286316,4.89312871,Private room,149,2,125,11/17/2018,2.23,4,10
2518607,Typical Amsterdam City 1930's Flat!,3071046,Cecile,,De Pijp - Rivierenbuurt,52.34023326,4.90434841,Entire home/apt,95,2,64,12/2/2018,1.14,1,12
2523316,Nice room near Amstel,12919491,Tom,,De Pijp - Rivierenbuurt,52.34354887,4.908631534,Shared room,65,2,20,7/1/2018,0.36,1,308
2525349,Centre Jordaan West Canalview + scooter,11550117,Tim,,Centrum-West,52.37287586,4.876054533,Entire home/apt,266,2,38,10/21/2018,0.67,1,138
2529643,Modern & cozy studio at Eastern Docklands | 2P,12953966,Truus,,Oostelijk Havengebied - Indische Buurt,52.37485134,4.946591178,Private room,85,1,34,9/22/2018,0.6,1,287
2533302,Luxurious home in city centre,11889592,Nicole,,De Pijp - Rivierenbuurt,52.35388961,4.895445203,Entire home/apt,195,7,11,10/24/2015,0.2,1,0
2534067,Paradise in De Pijp! NEW,12978317,Annet,,De Pijp - Rivierenbuurt,52.35450644,4.892140979,Entire home/apt,180,2,26,10/27/2018,0.49,1,18
2534100,Spacious family house with garden,5619206,Anna,,De Baarsjes - Oud-West,52.36584545,4.872251776,Entire home/apt,249,3,23,8/24/2018,0.43,1,100
2534166,Room to Rent Amsterdam ,12978768,Vincent,,Bos en Lommer,52.3837065,4.854729298,Private room,55,3,155,11/18/2018,2.73,1,356
2534399,Tuinhuis (garden House),12979522,Linda,,Oud-Noord,52.38878195,4.902897427,Entire home/apt,75,2,44,10/25/2018,1.15,1,41
2535007, House w/ sunny garden & 2 bikes!,12981929,Hanne,,De Baarsjes - Oud-West,52.36649383,4.85499052,Entire home/apt,140,2,40,8/2/2018,0.7,1,0
2535918,Amsterdam family house with garden,12986027,Erik,,Watergraafsmeer,52.3488518,4.938945163,Entire home/apt,200,5,1,8/9/2015,0.02,1,0
